iter	Passed	Remaining
0	1	119
1	2	103
2	2	96
3	3	92
4	5	98
5	6	94
6	7	94
7	7	89
8	8	90
9	9	88
10	10	86
11	11	84
12	12	82
13	13	80
14	14	80
15	15	82
16	16	81
17	17	79
18	18	77
19	18	75
20	19	73
21	20	71
22	20	70
23	21	68
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	50
38	31	49
39	32	48
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
